GHI,Protected_Land,Habitat,Slope,Population_Density,Distance_to_Substation,Land_Cover,geometry,Wattage,GEOID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE
90.0,98.48789334378982,76.25919027546318,97.56780997437414,42.99382413488873,75.41515537692383,83.85187726693461,POINT Z (-104.69714900000008 39.836789000000124 0),1.9,080319800011,08,031,980001,1
15.0,96.91794922066464,76.15478874620135,89.59903047091413,100.0,78.84325066169983,93.0373492794824,POINT Z (-117.6933000000001 34.56440000000013 0),1.2,060379001021,06,037,900102,1
5.0,91.15315818893237,36.449857857072836,26.339141658599548,100.0,50.0,76.65611214586805,POINT Z (-121.16469000000008 38.44979000000009 0),1.0,060670086021,06,067,008602,1
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-74.39441400000004 40.573708000000146 0),1.6,340230010032,34,023,001003,2
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-75.04 39.98940000000014 0),3.9,340076108003,34,007,610800,3
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-75.10697 40.78895700000008 0),2.0,340410316012,34,041,031601,2
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-74.37830000000004 40.72738600000017 0),1.7,340390378004,34,039,037800,4
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-74.44080000000004 39.36390000000012 0),2.0,340010012003,34,001,001200,3
15.0,70.55550064248295,43.393294775022056,21.605945730247406,100.0,50.0,68.39819625526908,POINT Z (-119.70940000000004 36.78390000000011 0),1.2,060190031042,06,019,003104,2
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-78.75030000000008 35.81360000000016 0),2.0,371830535211,37,183,053521,1
20.0,100.0,41.915498480541125,92.45956278796197,100.0,50.0,98.95941574355456,POINT Z (-115.58726500000002 32.67109900000009 0),199.9,060250119011,06,025,011901,1
81.85913145770023,40.48913043478261,65.83227134594648,32.03093812375249,100.0,50.0,74.82207626703264,POINT Z (-107.8134100000001 39.522904000000125 0),1.3,080459520031,08,045,952003,1
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-81.80190000000007 27.323200000000167 0),25.0,120270101011,12,027,010101,1
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-80.68110000000003 28.45860000000014 0),10.0,120090699031,12,009,069903,1
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-77.9814 34.2867000000001 0),1.2,371290115032,37,129,011503,2
17.96588569748064,94.96519949024605,54.483383981962554,74.36048130469372,100.0,50.0,99.38143319282423,POINT Z (-114.74440000000007 33.591700000000145 0),21.0,060650469002,06,065,046900,2
20.0,75.49063817272817,69.74365258308009,65.46554894537587,94.49416723850602,60.10048034506421,88.97451230271542,POINT Z (-114.9933000000001 35.788100000000085 0),10.0,320030057032,32,003,005703,2
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-77.67310000000002 35.92220000000004 0),3.9,370650213002,37,065,021300,2
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-74.7772 40.14830000000011 0),3.0,420179800001,42,017,980000,1
15.0,75.18582278481013,46.01215567101264,73.73370221327968,100.0,50.0,91.87432604646604,POINT Z (-117.70082600000003 33.9852440000001 0),1.0,060710005043,06,071,000504,3
15.0,63.82792485055508,57.03166356239584,80.8836682427108,100.0,50.0,94.28624644642682,POINT Z (-117.23000000000008 33.86720000000006 0),0.9,060650425073,06,065,042507,3
5.0,39.44794952681388,32.37819821586119,11.40523826846126,100.0,50.0,56.984609352024314,POINT Z (-121.96366000000006 38.400080000000116 0),0.9,060952532062,06,095,253206,2
5.0,87.76002352710519,47.50465640623468,45.911910836578485,100.0,50.0,82.1295951377316,POINT Z (-121.71336200000007 38.67489400000015 0),0.9,061130112083,06,113,011208,3
17.02970297029703,96.36506224879913,61.15920007842369,87.44421865474497,100.0,50.0,97.86834624056465,POINT Z (-114.91797900000009 33.567268000000155 0),0.9,060659810001,06,065,981000,1
