Description,2017,2018,2019,2020,2021,2022,state,county
Current-dollar GDP (thousands of current dollars) ,6138724,6252206,6636401,6642063,7359897,8255829,Alabama,Lee
Real GDP (thousands of chained 2017 dollars) ,3782933,3748925,4015687,4003975,4453940,4685164,Alabama,Limestone
Chain-type quantity indexes for real GDP ,100.000,99.101,106.153,105.843,117.738,123.850,Alabama,Limestone
Current-dollar GDP (thousands of current dollars) ,3782933,3842835,4210185,4246047,5079621,5787499,Alabama,Limestone
Real GDP (thousands of chained 2017 dollars) ,437070,428001,390275,380119,388468,403938,Alabama,Lowndes
Chain-type quantity indexes for real GDP ,100.000,97.925,89.293,86.970,88.880,92.419,Alabama,Lowndes
Current-dollar GDP (thousands of current dollars) ,437070,433688,399224,392692,432984,488453,Alabama,Lowndes
Real GDP (thousands of chained 2017 dollars) ,550614,543413,545856,526517,538414,557814,Alabama,Macon
Chain-type quantity indexes for real GDP ,100.000,98.692,99.136,95.624,97.784,101.308,Alabama,Macon
Current-dollar GDP (thousands of current dollars) ,550614,554043,569041,564656,589042,637744,Alabama,Macon
Real GDP (thousands of chained 2017 dollars) ,23737673,24854241,26135760,26664413,27845501,28787879,Alabama,Madison
Chain-type quantity indexes for real GDP ,100.000,104.704,110.102,112.330,117.305,121.275,Alabama,Madison
Current-dollar GDP (thousands of current dollars) ,23737673,25219264,26961420,27995128,29844781,32313440,Alabama,Madison
Real GDP (thousands of chained 2017 dollars) ,722874,757135,777253,798503,825205,799526,Alabama,Marengo
Chain-type quantity indexes for real GDP ,100.000,104.740,107.523,110.462,114.156,110.604,Alabama,Marengo
Current-dollar GDP (thousands of current dollars) ,722874,773500,805011,839091,925530,974867,Alabama,Marengo
Real GDP (thousands of chained 2017 dollars) ,870465,891135,876567,872769,931377,938817,Alabama,Marion
Chain-type quantity indexes for real GDP ,100.000,102.375,100.701,100.265,106.998,107.852,Alabama,Marion
Current-dollar GDP (thousands of current dollars) ,870465,913213,915689,939686,1096564,1218347,Alabama,Marion
Real GDP (thousands of chained 2017 dollars) ,3469332,3557129,3603497,3503383,3727967,3828507,Alabama,Marshall
Chain-type quantity indexes for real GDP ,100.000,102.531,103.867,100.981,107.455,110.353,Alabama,Marshall
Current-dollar GDP (thousands of current dollars) ,3469332,3616017,3750451,3753026,4159243,4564317,Alabama,Marshall
Real GDP (thousands of chained 2017 dollars) ,19734787,20064093,20390109,20587126,21408416,21926659,Alabama,Mobile
Chain-type quantity indexes for real GDP ,100.000,101.669,103.321,104.319,108.481,111.107,Alabama,Mobile
Current-dollar GDP (thousands of current dollars) ,19734787,20752659,21247605,21389006,23883341,26292053,Alabama,Mobile
Real GDP (thousands of chained 2017 dollars) ,724511,696059,667798,642815,646494,604595,Alabama,Monroe
Chain-type quantity indexes for real GDP ,100.000,96.073,92.172,88.724,89.232,83.449,Alabama,Monroe
Current-dollar GDP (thousands of current dollars) ,724511,719197,696116,678762,750741,777428,Alabama,Monroe
Real GDP (thousands of chained 2017 dollars) ,14011331,13975524,14155550,13809130,14229963,14441833,Alabama,Montgomery
Chain-type quantity indexes for real GDP ,100.000,99.744,101.029,98.557,101.560,103.073,Alabama,Montgomery
Current-dollar GDP (thousands of current dollars) ,14011331,14269732,14757669,14720802,15625535,16757043,Alabama,Montgomery
Real GDP (thousands of chained 2017 dollars) ,5556105,5659429,5612432,5736298,5831582,6014993,Alabama,Morgan
Chain-type quantity indexes for real GDP ,100.000,101.860,101.014,103.243,104.958,108.259,Alabama,Morgan
Current-dollar GDP (thousands of current dollars) ,5556105,5818952,5854715,6030025,6567974,7308567,Alabama,Morgan
Real GDP (thousands of chained 2017 dollars) ,209961,205783,203930,201405,186038,165321,Alabama,Perry
Chain-type quantity indexes for real GDP ,100.000,98.010,97.127,95.925,88.606,78.739,Alabama,Perry
Current-dollar GDP (thousands of current dollars) ,209961,207988,210618,213562,213268,202168,Alabama,Perry
Real GDP (thousands of chained 2017 dollars) ,452493,439534,445907,440286,432601,444818,Alabama,Pickens
Chain-type quantity indexes for real GDP ,100.000,97.136,98.544,97.302,95.604,98.304,Alabama,Pickens
Current-dollar GDP (thousands of current dollars) ,452493,453238,464337,470777,514719,578171,Alabama,Pickens
Real GDP (thousands of chained 2017 dollars) ,1392115,1397673,1401326,1382210,1524851,1565154,Alabama,Pike
Chain-type quantity indexes for real GDP ,100.000,100.399,100.662,99.288,109.535,112.430,Alabama,Pike
Current-dollar GDP (thousands of current dollars) ,1392115,1434204,1455065,1450077,1706100,1893725,Alabama,Pike
Real GDP (thousands of chained 2017 dollars) ,483214,495883,478635,463618,502363,512986,Alabama,Randolph
Chain-type quantity indexes for real GDP ,100.000,102.622,99.052,95.945,103.963,106.161,Alabama,Randolph
Current-dollar GDP (thousands of current dollars) ,483214,503888,497210,494384,572972,652558,Alabama,Randolph
Real GDP (thousands of chained 2017 dollars) ,1495039,1501878,1513704,1516988,1604555,1613861,Alabama,Russell
Chain-type quantity indexes for real GDP ,100.000,100.458,101.248,101.468,107.325,107.948,Alabama,Russell
Current-dollar GDP (thousands of current dollars) ,1495039,1535131,1573530,1608690,1789698,1940406,Alabama,Russell
Real GDP (thousands of chained 2017 dollars) ,2020338,2089846,2117956,1994525,2080516,2110781,Alabama,St. Clair
Chain-type quantity indexes for real GDP ,100.000,103.440,104.832,98.722,102.979,104.477,Alabama,St. Clair
Current-dollar GDP (thousands of current dollars) ,2020338,2133098,2215567,2138628,2311527,2530093,Alabama,St. Clair
Real GDP (thousands of chained 2017 dollars) ,11639599,11879718,12197103,12194822,12826439,12947298,Alabama,Shelby
Chain-type quantity indexes for real GDP ,100.000,102.063,104.790,104.770,110.197,111.235,Alabama,Shelby
Current-dollar GDP (thousands of current dollars) ,11639599,12169306,12771584,13012440,14320098,15537929,Alabama,Shelby
Real GDP (thousands of chained 2017 dollars) ,324042,317881,317803,324418,318297,304877,Alabama,Sumter
Chain-type quantity indexes for real GDP ,100.000,98.099,98.075,100.116,98.227,94.086,Alabama,Sumter
Current-dollar GDP (thousands of current dollars) ,324042,324656,329752,344484,365925,382973,Alabama,Sumter
Real GDP (thousands of chained 2017 dollars) ,3170439,3205432,3195372,3056612,3143057,3278496,Alabama,Talladega
Chain-type quantity indexes for real GDP ,100.000,101.104,100.786,96.410,99.136,103.408,Alabama,Talladega
Current-dollar GDP (thousands of current dollars) ,3170439,3253853,3275623,3160874,3292301,3654476,Alabama,Talladega
Real GDP (thousands of chained 2017 dollars) ,1318572,1356421,1419664,1325850,1406524,1448394,Alabama,Tallapoosa
Chain-type quantity indexes for real GDP ,100.000,102.870,107.667,100.552,106.670,109.846,Alabama,Tallapoosa
Current-dollar GDP (thousands of current dollars) ,1318572,1380205,1476665,1407281,1550782,1703561,Alabama,Tallapoosa
Real GDP (thousands of chained 2017 dollars) ,10228417,10298455,10909023,10320448,10405704,10218891,Alabama,Tuscaloosa
Chain-type quantity indexes for real GDP ,100.000,100.685,106.654,100.900,101.733,99.907,Alabama,Tuscaloosa
Current-dollar GDP (thousands of current dollars) ,10228417,10711426,11306943,10576407,11477039,12693193,Alabama,Tuscaloosa
Real GDP (thousands of chained 2017 dollars) ,2005235,2021641,1836335,1678336,1674850,1728974,Alabama,Walker
Chain-type quantity indexes for real GDP ,100.000,100.818,91.577,83.698,83.524,86.223,Alabama,Walker
Current-dollar GDP (thousands of current dollars) ,2005235,2069775,1919169,1804396,1905317,2113117,Alabama,Walker
Real GDP (thousands of chained 2017 dollars) ,841373,848581,836097,828366,868478,863463,Alabama,Washington
Chain-type quantity indexes for real GDP ,100.000,100.857,99.373,98.454,103.222,102.625,Alabama,Washington
Current-dollar GDP (thousands of current dollars) ,841373,869378,865307,859848,988609,1068587,Alabama,Washington
Real GDP (thousands of chained 2017 dollars) ,430526,455340,434333,409165,351486,314907,Alabama,Wilcox
Chain-type quantity indexes for real GDP ,100.000,105.764,100.884,95.038,81.641,73.145,Alabama,Wilcox
Current-dollar GDP (thousands of current dollars) ,430526,467746,443623,407062,387619,380794,Alabama,Wilcox
Real GDP (thousands of chained 2017 dollars) ,719959,724384,781080,798809,810262,813897,Alabama,Winston
Chain-type quantity indexes for real GDP ,100.000,100.615,108.490,110.952,112.543,113.048,Alabama,Winston
Current-dollar GDP (thousands of current dollars) ,719959,753106,821274,880638,1041592,1131694,Alabama,Winston
Real GDP (thousands of chained 2017 dollars) ,312665,345745,319484,252358,277219,290811,Alaska,Aleutians East Borough
Chain-type quantity indexes for real GDP ,100.000,110.580,102.181,80.712,88.663,93.010,Alaska,Aleutians East Borough
Current-dollar GDP (thousands of current dollars) ,312665,347292,332626,274977,304271,322727,Alaska,Aleutians East Borough
Real GDP (thousands of chained 2017 dollars) ,795250,672215,601260,670490,657526,690977,Alaska,Aleutians West Census Area
Chain-type quantity indexes for real GDP ,100.000,84.529,75.606,84.312,82.682,86.888,Alaska,Aleutians West Census Area
Current-dollar GDP (thousands of current dollars) ,795250,686484,637847,725529,742121,854226,Alaska,Aleutians West Census Area
Real GDP (thousands of chained 2017 dollars) ,23195622,23319628,23072230,22410855,23030206,22928246,Alaska,Anchorage Municipality
Chain-type quantity indexes for real GDP ,100.000,100.535,99.468,96.617,99.287,98.847,Alaska,Anchorage Municipality
Current-dollar GDP (thousands of current dollars) ,23195622,23898283,24232995,23744107,25897251,27809272,Alaska,Anchorage Municipality
Real GDP (thousands of chained 2017 dollars) ,711083,734987,710934,686331,661157,677999,Alaska,Bethel Census Area
Chain-type quantity indexes for real GDP ,100.000,103.362,99.979,96.519,92.979,95.347,Alaska,Bethel Census Area
Current-dollar GDP (thousands of current dollars) ,711083,749055,741160,733562,730515,782441,Alaska,Bethel Census Area
Real GDP (thousands of chained 2017 dollars) ,133015,145447,138377,126140,143548,151534,Alaska,Bristol Bay Borough
Chain-type quantity indexes for real GDP ,100.000,109.346,104.031,94.832,107.919,113.923,Alaska,Bristol Bay Borough
Current-dollar GDP (thousands of current dollars) ,133015,146917,143934,134551,157433,171757,Alaska,Bristol Bay Borough
Real GDP (thousands of chained 2017 dollars) ,(NA),(NA),(NA),1356522,1517396,1532257,,Chugach Census Area
Chain-type quantity indexes for real GDP ,(NA),(NA),(NA),(NM),(NM),(NM),,Chugach Census Area
Current-dollar GDP (thousands of current dollars) ,(NA),(NA),(NA),1381228,1642061,1829842,,Chugach Census Area
Real GDP (thousands of chained 2017 dollars) ,(NA),(NA),(NA),107882,124092,127377,,Copper River Census Area
Chain-type quantity indexes for real GDP ,(NA),(NA),(NA),(NM),(NM),(NM),,Copper River Census Area
