Description,2017,2018,2019,2020,2021,2022,state,county
Chain-type quantity indexes for real GDP ,100.000,102.408,107.328,103.215,110.144,106.683,Michigan,Branch
Current-dollar GDP (thousands of current dollars) ,1314987,1383075,1475481,1444766,1644127,1725113,Michigan,Branch
Real GDP (thousands of chained 2017 dollars) ,6450941,6467348,6411827,6372022,6912586,6984617,Michigan,Calhoun
Chain-type quantity indexes for real GDP ,100.000,100.254,99.394,98.777,107.156,108.273,Michigan,Calhoun
Current-dollar GDP (thousands of current dollars) ,6450941,6543076,6625286,6719789,7328300,7727860,Michigan,Calhoun
Real GDP (thousands of chained 2017 dollars) ,1026231,1073639,1119323,1065345,1106068,1227885,Michigan,Cass
Chain-type quantity indexes for real GDP ,100.000,104.620,109.071,103.811,107.780,119.650,Michigan,Cass
Current-dollar GDP (thousands of current dollars) ,1026231,1100600,1171139,1142462,1271599,1543233,Michigan,Cass
Real GDP (thousands of chained 2017 dollars) ,1160423,1190654,1176794,1117643,1271337,1330806,Michigan,Charlevoix
Chain-type quantity indexes for real GDP ,100.000,102.605,101.411,96.313,109.558,114.683,Michigan,Charlevoix
Current-dollar GDP (thousands of current dollars) ,1160423,1215515,1224276,1170255,1390731,1568959,Michigan,Charlevoix
Real GDP (thousands of chained 2017 dollars) ,628467,647428,626483,581940,647997,652297,Michigan,Cheboygan
Chain-type quantity indexes for real GDP ,100.000,103.017,99.684,92.597,103.107,103.792,Michigan,Cheboygan
Current-dollar GDP (thousands of current dollars) ,628467,664243,660412,626399,729041,792917,Michigan,Cheboygan
Real GDP (thousands of chained 2017 dollars) ,1117472,1131834,1131912,1064691,1141584,1178825,Michigan,Chippewa
Chain-type quantity indexes for real GDP ,100.000,101.285,101.292,95.277,102.158,105.490,Michigan,Chippewa
Current-dollar GDP (thousands of current dollars) ,1117472,1160168,1190016,1158166,1295898,1416510,Michigan,Chippewa
Real GDP (thousands of chained 2017 dollars) ,976539,1124080,1040688,1108704,1123732,1134928,Michigan,Clare
Chain-type quantity indexes for real GDP ,100.000,115.109,106.569,113.534,115.073,116.219,Michigan,Clare
Current-dollar GDP (thousands of current dollars) ,976539,1140916,1086638,1186003,1220734,1310274,Michigan,Clare
Real GDP (thousands of chained 2017 dollars) ,2154712,2166474,2163457,2162088,2331054,2378667,Michigan,Clinton
Chain-type quantity indexes for real GDP ,100.000,100.546,100.406,100.342,108.184,110.394,Michigan,Clinton
Current-dollar GDP (thousands of current dollars) ,2154712,2209393,2262266,2317335,2605148,2856494,Michigan,Clinton
Real GDP (thousands of chained 2017 dollars) ,421468,443214,432769,406131,454804,443867,Michigan,Crawford
Chain-type quantity indexes for real GDP ,100.000,105.160,102.681,96.361,107.910,105.315,Michigan,Crawford
Current-dollar GDP (thousands of current dollars) ,421468,456077,454526,442583,544502,568304,Michigan,Crawford
Real GDP (thousands of chained 2017 dollars) ,1211920,1227051,1243926,1189587,1237653,1186844,Michigan,Delta
Chain-type quantity indexes for real GDP ,100.000,101.249,102.641,98.157,102.123,97.931,Michigan,Delta
Current-dollar GDP (thousands of current dollars) ,1211920,1255168,1302528,1268257,1386240,1453892,Michigan,Delta
Real GDP (thousands of chained 2017 dollars) ,1314952,1340024,1336687,1278305,1411943,1350278,Michigan,Dickinson
Chain-type quantity indexes for real GDP ,100.000,101.907,101.653,97.213,107.376,102.686,Michigan,Dickinson
Current-dollar GDP (thousands of current dollars) ,1314952,1379556,1405556,1373136,1610347,1671384,Michigan,Dickinson
Real GDP (thousands of chained 2017 dollars) ,5237163,5195935,5237756,5198989,5731760,5936643,Michigan,Eaton
Chain-type quantity indexes for real GDP ,100.000,99.213,100.011,99.271,109.444,113.356,Michigan,Eaton
Current-dollar GDP (thousands of current dollars) ,5237163,5269024,5384159,5459993,6000535,6506294,Michigan,Eaton
Real GDP (thousands of chained 2017 dollars) ,1704219,1725337,1756825,1671235,1873065,1922925,Michigan,Emmet
Chain-type quantity indexes for real GDP ,100.000,101.239,103.087,98.065,109.908,112.833,Michigan,Emmet
Current-dollar GDP (thousands of current dollars) ,1704219,1756936,1833920,1786649,2063613,2251773,Michigan,Emmet
Real GDP (thousands of chained 2017 dollars) ,15931552,16335674,16614426,15314342,15693584,15582622,Michigan,Genesee
Chain-type quantity indexes for real GDP ,100.000,102.537,104.286,96.126,98.506,97.810,Michigan,Genesee
Current-dollar GDP (thousands of current dollars) ,15931552,16519873,17099054,16134835,16872504,17635437,Michigan,Genesee
Real GDP (thousands of chained 2017 dollars) ,462859,484998,497494,483385,469078,476949,Michigan,Gladwin
Chain-type quantity indexes for real GDP ,100.000,104.783,107.483,104.435,101.344,103.044,Michigan,Gladwin
Current-dollar GDP (thousands of current dollars) ,462859,494563,519753,518711,522227,572290,Michigan,Gladwin
Real GDP (thousands of chained 2017 dollars) ,458918,470560,477639,451284,471244,483073,Michigan,Gogebic
Chain-type quantity indexes for real GDP ,100.000,102.537,104.079,98.337,102.686,105.263,Michigan,Gogebic
Current-dollar GDP (thousands of current dollars) ,458918,481973,501572,489366,534541,584845,Michigan,Gogebic
Real GDP (thousands of chained 2017 dollars) ,5056523,5131292,5128096,4968737,5328093,5464037,Michigan,Grand Traverse
Chain-type quantity indexes for real GDP ,100.000,101.479,101.415,98.264,105.371,108.059,Michigan,Grand Traverse
Current-dollar GDP (thousands of current dollars) ,5056523,5228190,5341122,5304138,5907056,6453519,Michigan,Grand Traverse
Real GDP (thousands of chained 2017 dollars) ,1294516,1363671,1330567,1424742,1460868,1501799,Michigan,Gratiot
Chain-type quantity indexes for real GDP ,100.000,105.342,102.785,110.060,112.851,116.012,Michigan,Gratiot
Current-dollar GDP (thousands of current dollars) ,1294516,1388298,1385440,1514441,1658511,1866530,Michigan,Gratiot
Real GDP (thousands of chained 2017 dollars) ,1547548,1587172,1542944,1522442,1788240,1855473,Michigan,Hillsdale
Chain-type quantity indexes for real GDP ,100.000,102.560,99.702,98.378,115.553,119.898,Michigan,Hillsdale
Current-dollar GDP (thousands of current dollars) ,1547548,1597614,1580003,1594683,1886754,2030620,Michigan,Hillsdale
Real GDP (thousands of chained 2017 dollars) ,1062283,1092007,1111661,1062026,1149367,1184480,Michigan,Houghton
Chain-type quantity indexes for real GDP ,100.000,102.798,104.648,99.976,108.198,111.503,Michigan,Houghton
Current-dollar GDP (thousands of current dollars) ,1062283,1117356,1164479,1151394,1292267,1404271,Michigan,Houghton
Real GDP (thousands of chained 2017 dollars) ,1473629,1434021,1348842,1440311,1434960,1477755,Michigan,Huron
Chain-type quantity indexes for real GDP ,100.000,97.312,91.532,97.739,97.376,100.280,Michigan,Huron
Current-dollar GDP (thousands of current dollars) ,1473629,1450647,1380823,1478712,1649529,1912087,Michigan,Huron
Real GDP (thousands of chained 2017 dollars) ,16493798,16929311,17259113,17189472,17784510,18414382,Michigan,Ingham
Chain-type quantity indexes for real GDP ,100.000,102.640,104.640,104.218,107.825,111.644,Michigan,Ingham
Current-dollar GDP (thousands of current dollars) ,16493798,17251282,17965010,18397624,19477869,21213836,Michigan,Ingham
Real GDP (thousands of chained 2017 dollars) ,1544216,1507462,1685062,1450831,1614380,1735884,Michigan,Ionia
Chain-type quantity indexes for real GDP ,100.000,97.620,109.121,93.953,104.544,112.412,Michigan,Ionia
Current-dollar GDP (thousands of current dollars) ,1544216,1527255,1738312,1531670,1744922,2010395,Michigan,Ionia
Real GDP (thousands of chained 2017 dollars) ,762177,778878,838828,872469,936692,948081,Michigan,Iosco
Chain-type quantity indexes for real GDP ,100.000,102.191,110.057,114.471,122.897,124.391,Michigan,Iosco
Current-dollar GDP (thousands of current dollars) ,762177,795925,881317,939464,1060089,1146451,Michigan,Iosco
Real GDP (thousands of chained 2017 dollars) ,323784,329144,339501,308255,315673,319833,Michigan,Iron
Chain-type quantity indexes for real GDP ,100.000,101.655,104.854,95.204,97.495,98.780,Michigan,Iron
Current-dollar GDP (thousands of current dollars) ,323784,337223,355884,335190,364547,392852,Michigan,Iron
Real GDP (thousands of chained 2017 dollars) ,2394643,2437353,2392346,2351078,2453561,2483611,Michigan,Isabella
Chain-type quantity indexes for real GDP ,100.000,101.784,99.904,98.181,102.460,103.715,Michigan,Isabella
Current-dollar GDP (thousands of current dollars) ,2394643,2499502,2511303,2542027,2799506,3052657,Michigan,Isabella
Real GDP (thousands of chained 2017 dollars) ,5986766,6319957,6546808,6366847,6877822,6764879,Michigan,Jackson
Chain-type quantity indexes for real GDP ,100.000,105.565,109.355,106.349,114.884,112.997,Michigan,Jackson
Current-dollar GDP (thousands of current dollars) ,5986766,6434246,6828304,6765666,7586504,7989981,Michigan,Jackson
Real GDP (thousands of chained 2017 dollars) ,13678676,14546835,14955523,15060387,16058496,16352859,Michigan,Kalamazoo
Chain-type quantity indexes for real GDP ,100.000,106.347,109.335,110.101,117.398,119.550,Michigan,Kalamazoo
Current-dollar GDP (thousands of current dollars) ,13678676,14799785,15535672,15951461,17417792,18785711,Michigan,Kalamazoo
Real GDP (thousands of chained 2017 dollars) ,546295,584478,570333,532315,587588,591612,Michigan,Kalkaska
Chain-type quantity indexes for real GDP ,100.000,106.989,104.400,97.441,107.559,108.295,Michigan,Kalkaska
Current-dollar GDP (thousands of current dollars) ,546295,594123,593374,563157,650872,707082,Michigan,Kalkaska
Real GDP (thousands of chained 2017 dollars) ,41408211,43111923,43337486,42663668,45001717,45773477,Michigan,Kent
Chain-type quantity indexes for real GDP ,100.000,104.114,104.659,103.032,108.678,110.542,Michigan,Kent
Current-dollar GDP (thousands of current dollars) ,41408211,43853830,45116709,45312953,49257601,53616177,Michigan,Kent
Real GDP (thousands of chained 2017 dollars) ,48833,48233,51895,47752,53249,56730,Michigan,Keweenaw
Chain-type quantity indexes for real GDP ,100.000,98.771,106.271,97.786,109.042,116.171,Michigan,Keweenaw
Current-dollar GDP (thousands of current dollars) ,48833,49662,55085,51617,59772,68401,Michigan,Keweenaw
Real GDP (thousands of chained 2017 dollars) ,222723,234059,227098,234605,227954,219698,Michigan,Lake
Chain-type quantity indexes for real GDP ,100.000,105.089,101.964,105.335,102.348,98.642,Michigan,Lake
Current-dollar GDP (thousands of current dollars) ,222723,239642,238819,253968,254425,258664,Michigan,Lake
Real GDP (thousands of chained 2017 dollars) ,2225842,2310589,2244057,2231793,2279163,2273132,Michigan,Lapeer
Chain-type quantity indexes for real GDP ,100.000,103.807,100.818,100.267,102.396,102.125,Michigan,Lapeer
Current-dollar GDP (thousands of current dollars) ,2225842,2350384,2340100,2396045,2514820,2682781,Michigan,Lapeer
Real GDP (thousands of chained 2017 dollars) ,725344,771871,776959,722961,800150,836415,Michigan,Leelanau
Chain-type quantity indexes for real GDP ,100.000,106.415,107.116,99.672,110.313,115.313,Michigan,Leelanau
Current-dollar GDP (thousands of current dollars) ,725344,789676,815494,781979,892929,984758,Michigan,Leelanau
Real GDP (thousands of chained 2017 dollars) ,2925613,3128741,2926591,3019486,3258737,3281154,Michigan,Lenawee
Chain-type quantity indexes for real GDP ,100.000,106.943,100.033,103.209,111.386,112.153,Michigan,Lenawee
Current-dollar GDP (thousands of current dollars) ,2925613,3171011,3026595,3199120,3563186,3837365,Michigan,Lenawee
Real GDP (thousands of chained 2017 dollars) ,7183744,7260084,7187384,6959951,7571722,7639351,Michigan,Livingston
Chain-type quantity indexes for real GDP ,100.000,101.063,100.051,96.885,105.401,106.342,Michigan,Livingston
Current-dollar GDP (thousands of current dollars) ,7183744,7422299,7502365,7419544,8303856,8990827,Michigan,Livingston
Real GDP (thousands of chained 2017 dollars) ,163553,160827,155244,145073,156221,157490,Michigan,Luce
Chain-type quantity indexes for real GDP ,100.000,98.333,94.920,88.701,95.517,96.293,Michigan,Luce
Current-dollar GDP (thousands of current dollars) ,163553,165592,163372,157806,177320,188839,Michigan,Luce
Real GDP (thousands of chained 2017 dollars) ,436189,437441,437625,404737,473682,484095,Michigan,Mackinac
Chain-type quantity indexes for real GDP ,100.000,100.287,100.329,92.790,108.596,110.983,Michigan,Mackinac
Current-dollar GDP (thousands of current dollars) ,436189,449469,461842,428222,535147,600980,Michigan,Mackinac
Real GDP (thousands of chained 2017 dollars) ,40421550,41205875,40170145,37952844,41171772,41541466,Michigan,Macomb
Chain-type quantity indexes for real GDP ,100.000,101.940,99.378,93.893,101.856,102.771,Michigan,Macomb
Current-dollar GDP (thousands of current dollars) ,40421550,41646480,41433655,39963215,43798133,46794637,Michigan,Macomb
Real GDP (thousands of chained 2017 dollars) ,842887,857127,856426,818263,850114,852715,Michigan,Manistee
Chain-type quantity indexes for real GDP ,100.000,101.689,101.606,97.079,100.857,101.166,Michigan,Manistee
Current-dollar GDP (thousands of current dollars) ,842887,877469,894680,873092,954364,1024200,Michigan,Manistee
Real GDP (thousands of chained 2017 dollars) ,2701984,2671661,2690762,2610519,2866840,2766215,Michigan,Marquette
Chain-type quantity indexes for real GDP ,100.000,98.878,99.585,96.615,106.101,102.377,Michigan,Marquette
Current-dollar GDP (thousands of current dollars) ,2701984,2732853,2806542,2778071,3255552,3381189,Michigan,Marquette
Real GDP (thousands of chained 2017 dollars) ,1021898,1046612,1005506,990607,1020954,1000565,Michigan,Mason
Chain-type quantity indexes for real GDP ,100.000,102.418,98.396,96.938,99.908,97.912,Michigan,Mason
Current-dollar GDP (thousands of current dollars) ,1021898,1068232,1049971,1053610,1151088,1226675,Michigan,Mason
Real GDP (thousands of chained 2017 dollars) ,1290900,1281868,1297709,1183648,1318012,1244293,Michigan,Mecosta
Chain-type quantity indexes for real GDP ,100.000,99.300,100.527,91.692,102.100,96.390,Michigan,Mecosta
Current-dollar GDP (thousands of current dollars) ,1290900,1302773,1347296,1270109,1459206,1456108,Michigan,Mecosta
Real GDP (thousands of chained 2017 dollars) ,700552,719499,719117,651062,706009,718458,Michigan,Menominee
Chain-type quantity indexes for real GDP ,100.000,102.705,102.650,92.936,100.779,102.556,Michigan,Menominee
Current-dollar GDP (thousands of current dollars) ,700552,730046,743945,689142,779910,858372,Michigan,Menominee
Real GDP (thousands of chained 2017 dollars) ,5482023,5520755,5351030,5689344,5840210,5978041,Michigan,Midland
Chain-type quantity indexes for real GDP ,100.000,100.707,97.611,103.782,106.534,109.048,Michigan,Midland
Current-dollar GDP (thousands of current dollars) ,5482023,5624003,5501750,5874076,6417567,7046843,Michigan,Midland
Real GDP (thousands of chained 2017 dollars) ,424914,415389,441013,409174,416439,437331,Michigan,Missaukee
Chain-type quantity indexes for real GDP ,100.000,97.758,103.789,96.296,98.005,102.922,Michigan,Missaukee
Current-dollar GDP (thousands of current dollars) ,424914,420621,454224,429085,489737,583923,Michigan,Missaukee
Real GDP (thousands of chained 2017 dollars) ,5999722,5880549,5928026,5597580,5738150,5708370,Michigan,Monroe
Chain-type quantity indexes for real GDP ,100.000,98.014,98.805,93.297,95.640,95.144,Michigan,Monroe
Current-dollar GDP (thousands of current dollars) ,5999722,6039946,6207038,5898802,6540743,7118880,Michigan,Monroe
Real GDP (thousands of chained 2017 dollars) ,1550915,1585610,1578954,1546367,1624127,1595649,Michigan,Montcalm
Chain-type quantity indexes for real GDP ,100.000,102.237,101.808,99.707,104.721,102.884,Michigan,Montcalm
Current-dollar GDP (thousands of current dollars) ,1550915,1615606,1651027,1661179,1833681,1960360,Michigan,Montcalm
Real GDP (thousands of chained 2017 dollars) ,256904,270542,259437,249783,243628,241287,Michigan,Montmorency
Chain-type quantity indexes for real GDP ,100.000,105.309,100.986,97.228,94.833,93.921,Michigan,Montmorency
Current-dollar GDP (thousands of current dollars) ,256904,278443,270637,264404,273466,297986,Michigan,Montmorency
Real GDP (thousands of chained 2017 dollars) ,5986522,6085095,6118683,5901734,6155453,6229824,Michigan,Muskegon
Chain-type quantity indexes for real GDP ,100.000,101.647,102.208,98.584,102.822,104.064,Michigan,Muskegon
Current-dollar GDP (thousands of current dollars) ,5986522,6240574,6358734,6166445,6833407,7408317,Michigan,Muskegon
Real GDP (thousands of chained 2017 dollars) ,1371772,1397245,1405946,1352273,1367870,1393394,Michigan,Newaygo
Chain-type quantity indexes for real GDP ,100.000,101.857,102.491,98.579,99.716,101.576,Michigan,Newaygo
Current-dollar GDP (thousands of current dollars) ,1371772,1412115,1446073,1434575,1506578,1631718,Michigan,Newaygo
Real GDP (thousands of chained 2017 dollars) ,103948141,106919794,108104324,104374423,110201352,112082079,Michigan,Oakland
Chain-type quantity indexes for real GDP ,100.000,102.859,103.998,100.410,106.016,107.825,Michigan,Oakland
Current-dollar GDP (thousands of current dollars) ,103948141,108587659,111878330,109832929,118620804,127284794,Michigan,Oakland
Real GDP (thousands of chained 2017 dollars) ,664011,679250,664863,617005,612398,619532,Michigan,Oceana
Chain-type quantity indexes for real GDP ,100.000,102.295,100.128,92.921,92.227,93.301,Michigan,Oceana
Current-dollar GDP (thousands of current dollars) ,664011,689632,690803,656314,681455,735285,Michigan,Oceana
Real GDP (thousands of chained 2017 dollars) ,538888,571708,556639,541310,545329,549797,Michigan,Ogemaw
Chain-type quantity indexes for real GDP ,100.000,106.090,103.294,100.449,101.195,102.024,Michigan,Ogemaw
Current-dollar GDP (thousands of current dollars) ,538888,582059,579774,577316,626268,692908,Michigan,Ogemaw
Real GDP (thousands of chained 2017 dollars) ,125697,124403,130713,123525,131541,134539,Michigan,Ontonagon
Chain-type quantity indexes for real GDP ,100.000,98.970,103.990,98.272,104.649,107.034,Michigan,Ontonagon
Current-dollar GDP (thousands of current dollars) ,125697,127417,137265,133553,149302,162351,Michigan,Ontonagon
Real GDP (thousands of chained 2017 dollars) ,722005,724664,765361,729725,752834,755510,Michigan,Osceola
Chain-type quantity indexes for real GDP ,100.000,100.368,106.005,101.069,104.270,104.641,Michigan,Osceola
Current-dollar GDP (thousands of current dollars) ,722005,738984,799425,779148,839943,921072,Michigan,Osceola
Real GDP (thousands of chained 2017 dollars) ,197493,203921,217209,188967,210542,210770,Michigan,Oscoda
Chain-type quantity indexes for real GDP ,100.000,103.255,109.983,95.683,106.608,106.723,Michigan,Oscoda
Current-dollar GDP (thousands of current dollars) ,197493,208683,226960,199440,237600,263060,Michigan,Oscoda
Real GDP (thousands of chained 2017 dollars) ,976796,1005345,993295,1013137,1055134,1049710,Michigan,Otsego
Chain-type quantity indexes for real GDP ,100.000,102.923,101.689,103.720,108.020,107.465,Michigan,Otsego
Current-dollar GDP (thousands of current dollars) ,976796,1026264,1033377,1066910,1200271,1315172,Michigan,Otsego
Real GDP (thousands of chained 2017 dollars) ,14387389,14644213,14431684,14538962,16111511,16840293,Michigan,Ottawa
Chain-type quantity indexes for real GDP ,100.000,101.785,100.308,101.054,111.984,117.049,Michigan,Ottawa
Current-dollar GDP (thousands of current dollars) ,14387389,14837227,14978257,15440789,17595433,19709562,Michigan,Ottawa
Real GDP (thousands of chained 2017 dollars) ,334635,322730,324743,334295,360325,346849,Michigan,Presque Isle
Chain-type quantity indexes for real GDP ,100.000,96.442,97.044,99.898,107.677,103.650,Michigan,Presque Isle
Current-dollar GDP (thousands of current dollars) ,334635,331648,340948,358734,424898,450680,Michigan,Presque Isle
Real GDP (thousands of chained 2017 dollars) ,562704,572363,588729,600377,604863,617884,Michigan,Roscommon
Chain-type quantity indexes for real GDP ,100.000,101.716,104.625,106.695,107.492,109.806,Michigan,Roscommon
Current-dollar GDP (thousands of current dollars) ,562704,583246,613681,646127,670738,722602,Michigan,Roscommon
Real GDP (thousands of chained 2017 dollars) ,8198898,8459769,8429628,8247600,8783209,8854522,Michigan,Saginaw
Chain-type quantity indexes for real GDP ,100.000,103.182,102.814,100.594,107.127,107.996,Michigan,Saginaw
Current-dollar GDP (thousands of current dollars) ,8198898,8587600,8718015,8718615,9484109,10090940,Michigan,Saginaw
Real GDP (thousands of chained 2017 dollars) ,5281773,5484028,5350490,5359518,5644807,5721083,Michigan,St. Clair
Chain-type quantity indexes for real GDP ,100.000,103.829,101.301,101.472,106.873,108.317,Michigan,St. Clair
Current-dollar GDP (thousands of current dollars) ,5281773,5593478,5583125,5693837,6257175,6801983,Michigan,St. Clair
Real GDP (thousands of chained 2017 dollars) ,2059242,2048140,2032794,2012037,2177696,2166807,Michigan,St. Joseph
Chain-type quantity indexes for real GDP ,100.000,99.461,98.716,97.708,105.752,105.223,Michigan,St. Joseph
Current-dollar GDP (thousands of current dollars) ,2059242,2072930,2096944,2117987,2343381,2521563,Michigan,St. Joseph
Real GDP (thousands of chained 2017 dollars) ,1228358,1257516,1178075,1158246,1218292,1202993,Michigan,Sanilac
Chain-type quantity indexes for real GDP ,100.000,102.374,95.906,94.292,99.181,97.935,Michigan,Sanilac
Current-dollar GDP (thousands of current dollars) ,1228358,1269987,1216140,1217465,1389501,1554430,Michigan,Sanilac
Real GDP (thousands of chained 2017 dollars) ,278521,271995,274535,267718,284536,253121,Michigan,Schoolcraft
Chain-type quantity indexes for real GDP ,100.000,97.657,98.569,96.121,102.159,90.880,Michigan,Schoolcraft
Current-dollar GDP (thousands of current dollars) ,278521,279522,287744,287355,325297,312331,Michigan,Schoolcraft
Real GDP (thousands of chained 2017 dollars) ,1684085,1771517,1702269,1606127,1708284,1729620,Michigan,Shiawassee
Chain-type quantity indexes for real GDP ,100.000,105.192,101.080,95.371,101.437,102.704,Michigan,Shiawassee
Current-dollar GDP (thousands of current dollars) ,1684085,1801304,1772813,1718683,1894318,2056485,Michigan,Shiawassee
Real GDP (thousands of chained 2017 dollars) ,1211404,1218239,1222412,1266648,1320344,1343494,Michigan,Tuscola
Chain-type quantity indexes for real GDP ,100.000,100.564,100.909,104.560,108.993,110.904,Michigan,Tuscola
Current-dollar GDP (thousands of current dollars) ,1211404,1242421,1274855,1349949,1490055,1644071,Michigan,Tuscola
Real GDP (thousands of chained 2017 dollars) ,2887839,2806602,2829297,2927369,2841918,2680416,Michigan,Van Buren
Chain-type quantity indexes for real GDP ,100.000,97.187,97.973,101.369,98.410,92.817,Michigan,Van Buren
Current-dollar GDP (thousands of current dollars) ,2887839,2866829,2957080,3095565,3250698,3340545,Michigan,Van Buren
Real GDP (thousands of chained 2017 dollars) ,24040003,24649772,25481406,24988323,26314261,26780892,Michigan,Washtenaw
Chain-type quantity indexes for real GDP ,100.000,102.536,105.996,103.945,109.460,111.401,Michigan,Washtenaw
Current-dollar GDP (thousands of current dollars) ,24040003,25061817,26448632,26578850,28686650,30556485,Michigan,Washtenaw
Real GDP (thousands of chained 2017 dollars) ,97146266,98367313,98126894,93170196,97837633,100266092,Michigan,Wayne
Chain-type quantity indexes for real GDP ,100.000,101.257,101.009,95.907,100.712,103.211,Michigan,Wayne
Current-dollar GDP (thousands of current dollars) ,97146266,99842201,101481722,97055844,103789971,112856578,Michigan,Wayne
Real GDP (thousands of chained 2017 dollars) ,1243967,1281772,1307351,1213789,1346369,1346697,Michigan,Wexford
Chain-type quantity indexes for real GDP ,100.000,103.039,105.095,97.574,108.232,108.258,Michigan,Wexford
Current-dollar GDP (thousands of current dollars) ,1243967,1302523,1358723,1291038,1465891,1571631,Michigan,Wexford
Real GDP (thousands of chained 2017 dollars) ,450099,467027,490271,469134,497681,501559,Minnesota,Aitkin
Chain-type quantity indexes for real GDP ,100.000,103.761,108.925,104.229,110.571,111.433,Minnesota,Aitkin
Current-dollar GDP (thousands of current dollars) ,450099,479256,517411,510321,565301,609048,Minnesota,Aitkin
Real GDP (thousands of chained 2017 dollars) ,14727190,15328069,15770462,15367475,15619854,15446761,Minnesota,Anoka
Chain-type quantity indexes for real GDP ,100.000,104.080,107.084,104.348,106.061,104.886,Minnesota,Anoka
Current-dollar GDP (thousands of current dollars) ,14727190,15591171,16467659,16453084,17238206,18420960,Minnesota,Anoka
Real GDP (thousands of chained 2017 dollars) ,1359790,1425051,1387471,1374108,1430857,1435298,Minnesota,Becker
Chain-type quantity indexes for real GDP ,100.000,104.799,102.036,101.053,105.226,105.553,Minnesota,Becker
Current-dollar GDP (thousands of current dollars) ,1359790,1453732,1452630,1477596,1624395,1795267,Minnesota,Becker
Real GDP (thousands of chained 2017 dollars) ,1683816,1764875,1793768,1814397,1864126,1854419,Minnesota,Beltrami
Chain-type quantity indexes for real GDP ,100.000,104.814,106.530,107.755,110.708,110.132,Minnesota,Beltrami
Current-dollar GDP (thousands of current dollars) ,1683816,1804546,1879601,1963917,2113886,2234593,Minnesota,Beltrami
Real GDP (thousands of chained 2017 dollars) ,1902500,1827803,1772932,1754099,1781367,1796943,Minnesota,Benton
Chain-type quantity indexes for real GDP ,100.000,96.074,93.190,92.200,93.633,94.452,Minnesota,Benton
Current-dollar GDP (thousands of current dollars) ,1902500,1852141,1855026,1886312,1995919,2209540,Minnesota,Benton
Real GDP (thousands of chained 2017 dollars) ,207174,197783,191467,220737,231537,239782,Minnesota,Big Stone
Chain-type quantity indexes for real GDP ,100.000,95.467,92.419,106.547,111.760,115.739,Minnesota,Big Stone
Current-dollar GDP (thousands of current dollars) ,207174,203074,202867,239336,276146,326831,Minnesota,Big Stone
Real GDP (thousands of chained 2017 dollars) ,4045039,4030700,4069834,3951497,4045116,4070244,Minnesota,Blue Earth
Chain-type quantity indexes for real GDP ,100.000,99.646,100.613,97.687,100.002,100.623,Minnesota,Blue Earth
Current-dollar GDP (thousands of current dollars) ,4045039,4098053,4234514,4207261,4540400,4934359,Minnesota,Blue Earth
Real GDP (thousands of chained 2017 dollars) ,1505083,1534101,1442256,1343370,1411466,1414890,Minnesota,Brown
Chain-type quantity indexes for real GDP ,100.000,101.928,95.826,89.256,93.780,94.007,Minnesota,Brown
Current-dollar GDP (thousands of current dollars) ,1505083,1552206,1492899,1419999,1582356,1746852,Minnesota,Brown
Real GDP (thousands of chained 2017 dollars) ,1324265,1339278,1363502,1349861,1465988,1385328,Minnesota,Carlton
Chain-type quantity indexes for real GDP ,100.000,101.134,102.963,101.933,110.702,104.611,Minnesota,Carlton
Current-dollar GDP (thousands of current dollars) ,1324265,1373338,1427464,1445659,1634200,1665268,Minnesota,Carlton
Real GDP (thousands of chained 2017 dollars) ,5349277,5498495,5517353,5218426,5586866,5740656,Minnesota,Carver
Chain-type quantity indexes for real GDP ,100.000,102.790,103.142,97.554,104.442,107.316,Minnesota,Carver
Current-dollar GDP (thousands of current dollars) ,5349277,5586315,5733832,5538589,6129370,6726856,Minnesota,Carver
Real GDP (thousands of chained 2017 dollars) ,992683,1015959,995436,952895,1294656,1067253,Minnesota,Cass
Chain-type quantity indexes for real GDP ,100.000,102.345,100.277,95.992,130.420,107.512,Minnesota,Cass
Current-dollar GDP (thousands of current dollars) ,992683,1041815,1049550,1033098,1453727,1284928,Minnesota,Cass
Real GDP (thousands of chained 2017 dollars) ,570349,557223,539133,542425,587080,590461,Minnesota,Chippewa
Chain-type quantity indexes for real GDP ,100.000,97.698,94.527,95.104,102.933,103.526,Minnesota,Chippewa
Current-dollar GDP (thousands of current dollars) ,570349,567747,563243,581488,673104,745526,Minnesota,Chippewa
Real GDP (thousands of chained 2017 dollars) ,1544816,1592989,1626531,1560143,1659841,1644266,Minnesota,Chisago
Chain-type quantity indexes for real GDP ,100.000,103.118,105.290,100.992,107.446,106.438,Minnesota,Chisago
Current-dollar GDP (thousands of current dollars) ,1544816,1626329,1706465,1685879,1853394,1968285,Minnesota,Chisago
Real GDP (thousands of chained 2017 dollars) ,1970837,2001213,2082321,2037263,2137607,2149577,Minnesota,Clay
Chain-type quantity indexes for real GDP ,100.000,101.541,105.657,103.370,108.462,109.069,Minnesota,Clay
Current-dollar GDP (thousands of current dollars) ,1970837,2049210,2191969,2202973,2438324,2649490,Minnesota,Clay
Real GDP (thousands of chained 2017 dollars) ,313494,296417,275589,279499,332225,307082,Minnesota,Clearwater
Chain-type quantity indexes for real GDP ,100.000,94.552,87.909,89.156,105.975,97.955,Minnesota,Clearwater
Current-dollar GDP (thousands of current dollars) ,313494,299602,286004,297132,362422,360729,Minnesota,Clearwater
