,state,county,flattened_array,county_area,bounding_box,total_pixels,sq_mile_per_pixel,avg_pixel_value,solar_mw_sum,solar_mw_avg,solar_mw_count,MW / 1000 sq mile,Projects / 1000 sq mile,GHI,protected_land,habitat,slope,popl_dens,Substation,land_cover
2818,Virginia,Covington,"[ 0  0  0  0  0  0  0  0  0 23 23  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0 27  0 23 54 27 23  0  0  0  0  0  0  0  0  0  0  0  0 38 38 27
 54 54 54 38  0 21  0  0  0  0  0  0  0  0  0 23  0  0  0  0 27 54 45 45
 54 23  0  0  0  0  0  0  0  0  0  0  0 23 27  0  0  0 54 27 27 27 45 23
  0  0  0  0  0  0  0  0  0  0 23 23 27  0  0 27 38 27 27 38 27  0  0  0
  0 21 21 21  0  0 23  0 23 47 54 27 38 38 23 27 27 23  0  0  0  0 21  0
  0  0  0 23  0  0 23 54 45 54 45 27 27 27 39 23 21  0  0  0  0  0  0  0
 21  0 21  0  0 55 47 54 33  0  0  0  0  0  0  0  0 21  0  0  0  0  0 30
  0  0 47 54 39 39 23  0  0  0  0  0  0 21 21  0  0  0  0  0  0  0 21 55
 54 33 47 33 23 23  0  0 21 21  0  0  0 21 21  0  0  0 21 55 55 54 47 47
 47 47 23 21  0 21  0  0  0  0 21 21  0  0  0  0  0  0 54 55 47 47 47 23
  0  0 23  0  0 21 23 23 23  0  0  0  0  0  0 45 55 47 47 39  0  0 23 21
 21 21 23  0  0  0  0 21  0  0  0  0  0 54 47 47 23  0 23 23 23 23 39 23
  0 23 23  0  0 39 23  0  0 23 23 47 47 39 33 23 39 39 33 23 33 23  0  0
  0  0 27 33  0  0 23 23 47 33 47 47 33 23 33 23 23 47 47 23 23  0  0  0
 21 23 23 23 47 47 47 23 39 47 23 23 23  0  0 23 33 33  0  0  0 21 21  0
  0 23 47 47 23 39 23  0  0  0  0  0 23 47 47  0  0  0 21 21 23  0  0 39
 47 23 23  0  0  0  0 23 23 33 47 47  0 21  0 21 23  0  0  0 23 39 23  0
  0  0  0  0 47 47 47 47 47  0  0  0  0  0  0  0  0 21 23  0 23 23  0  0
 39 47 47 47 47 47 16 54 54 23 47 47 47 47 47 23 23 23  0  0 47 47 54 47
 47 47 47 42 47 55 55 55 54 47 47 33 23 23  0  0 47 47 47 47 55 55 47 47
  0 39 55 47 47 54 54 54 39 47 54 47 47 47 47 33 47 55 55 33 33  0  0 55
 55 55 54 54 55 55 47 47 47 47 47 45 23 33 39 23  0  0  0  0 23 47 55 54
 55 47 47 47 47 47 23 33 33 23  0  0  0  0  0 54 38  0 38 47 21 21 42 42
 21 21 21 23  0  0  0  0  0  0  0  0 42 39 27 45 42 42 21  0 30  0 21 21
 21  0 21  0  0  0  0  0  0  0 21 21 42 42 42  0  0 21  0  0 21 21 21 21
  0  0  0  0  0  0  0  0 35 35 42 30  0  0  0 21  0 21 21  0  0  0  0  0
  0  0  0]",10.603495126414073,"(-80.008994, 37.748244, -79.966027, 37.813585)",651,0.0162880109468726,19.755760368663594,0.0,0.0,0.0,0.0,0.0,15.0,93.14900153609831,42.58064516129032,22.534562211981566,49.953917050691246,75.0,62.795698924731184
2819,Virginia,Craig,[45 23 23 ... 54 55 55],658.0199709293792,"(-80.472782, 37.316378, -79.969071, 37.66029)",37996,0.0173181379863506,10.793109801031688,0.0,0.0,0.0,0.0,0.0,15.0,67.72620802189704,26.599115696389095,7.769002000210548,98.46957574481524,52.17128118749342,55.73349826297505
2820,Virginia,Culpeper,[ 0  0 20 ... 54 47 47],897.7750959932137,"(-78.231803, 38.308376, -77.618727, 38.699018)",52521,0.0170936405626932,39.08349041335847,0.0,0.0,0.0,0.0,0.0,15.0,96.0798537727766,43.6572037851526,64.72131147540983,87.1311475409836,59.05999504959921,67.7084975533596
2821,Virginia,Cumberland,[38 32 32 ... 52 52 52],668.4296374475848,"(-78.465089, 37.301606, -78.072174, 37.74938)",38640,0.0172989036606517,39.480693581780535,0.0,0.0,0.0,0.0,0.0,15.0,96.8172877846791,33.3282867494824,63.92823498964803,97.95056935817806,68.25776397515529,60.274896480331265
2822,Virginia,Danville,[38 32 23 ... 35 21 35],85.6911704400845,"(-79.519273, 36.540971, -79.302564, 36.644037)",4998,0.0171450921248668,37.74329731892757,0.0,0.0,0.0,0.0,0.0,15.0,99.99199679871948,38.0672268907563,46.64625850340136,42.038815526210485,78.14725890356142,63.89735894357743
2823,Virginia,Dickenson,[0 0 0 ... 0 0 0],559.153615023521,"(-82.553912, 36.955715, -82.136012, 37.306316)",32144,0.0173952717466252,2.513937282229965,0.0,0.0,0.0,0.0,0.0,15.0,93.78328770532603,27.414447486311598,1.1408038825286213,95.79719387755102,50.0,53.43737555998009
2824,Virginia,Dinwiddie,[52 45 45 ... 47 54 54],767.4018045290366,"(-77.900338, 36.873752, -77.394645, 37.270971)",44082,0.017408506976295,44.41853817884851,0.0,0.0,0.0,0.0,0.0,15.0,97.19534050179212,40.40424663127807,91.18036840433737,93.0321900095277,61.449457828592166,61.5130211877864
2825,Virginia,Emporia,"[55 55 55 55 55 55 55 55 55 55 48 48 48 55 55 55 54 55 47 47 47 43 43 43
 43 43 43 43 55 55 55 55 55 55 55 55 55 48 48 48 48 54 54 55 55 55 55 48
 48 47 47 43 36 43 42 42 55 55 55 55 48 55 55 55 55 55 55 55 55 43 54 55
 55 55 48 48 48 47 48 48 43 42 42 35 55 55 43 43 55 54 55 55 55 43 55 55
 55 54 54 55 48 48 48 48 48 48 48 48 43 42 43 43 55 55 43 55 55 48 48 48
 43 55 55 55 54 54 55 48 47 48 48 48 48 48 48 48 43 43 47 47 48 55 55 48
 48 48 48 47 48 48 43 43 55 43 48 47 47 48 48 48 48 48 48 48 47 47 47 47
 48 48 47 48 48 48 48 47 48 43 48 48 48 47 48 47 47 47 48 48 48 48 48 48
 47 47 47 47 47 47 48 48 48 48 48 48 48 48 43 43 43 43 48 48 47 47 47 43
 48 47 48 48 55 47 47 47 47 47 47 47 48 48 48 48 48 48 48 48 48 48 48 48
 43 47 48 48 48 48 48 47 54 54 54 54 48 48 40 47 48 48 48 48 48 48 48 48
 48 48 48 48 48 47 48 48 48 48 48 47 55 55 47 47 43 48 47 47 48 48 48 48
 48 48 48 48 48 48 48 43 48 48 48 47 47 48 43 47 54 54 47 47 43 48 48 47
 40 47 47 48 48 43 48 48 48 48 48 48 48 48 48 43 48 48 47 47 47 47 47 47
 48 48 48 43 48 47 48 43 48 47 48 48 48 48 48 48 48 48 48 48 48 43 47 47
 47 47 47 47 48 48 48 48 48 48 47 43 47 47 48 48 48 48 48 48 48 48 48 48
 43 42 47 47 47 47 47 47 48 48 48 48 48 47 47 47 47 48 43 43 47 47 48 48
 48 48 48 48 47 43 47 47 47 47 47 47 48 48 48 48 48 48 48 47 48 48 47 47
 47 47 48 48 48 43 48 43 43 43 47 47 47 47 47 47 48 48 48 48 48 48 48 48
 48 48 47 47 40 47 48 48 48 48 48 47 47 47 47 47 47 47 47 47 48 43 48 48
 48 48 48 48 48 48 48 48 48 48 47 48 47 43 47 43 47 43 43 43 47 47 47 43
 48 43 43 48 48 48 48 48 48 48 48 48 48 48 43 48 43 43 43 43 43 43 43 43
 43 43 47 42 48 43 43 47 48 48 48 55 55 48 48 48 48 48 48 43 47 47 43 43
 43 43 43 43 43 43 43 43 48 47 43 43 47 47 43 55 55 55 48 48 48 43 48 43
 43 43 43 43 43 43 43 43 43 43 43 43 48 47 43 43 55 55 55 55 55 55 43 43
 43 43 43 43 43 43 43 43 43 43 43 42 43 43 43 43 43 43 48 48 55 55 43 43
 43 43 47 47 54 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 55 55 55
 55 55 55 55 55 47 55 55 54 43 43 43 43 43 43 43 43 43 42 43 43 43 43 42]",10.712222662200308,"(-77.563888, 36.671669, -77.506716, 36.720588)",672,0.0159408075330361,47.580357142857146,0.0,0.0,0.0,0.0,0.0,15.0,99.99255952380952,44.13690476190476,97.99107142857143,47.5,85.87053571428571,65.01041666666667
2826,Virginia,Essex,[25 25 21 ... 41 41 34],821.8685061948283,"(-77.1701, 37.728605, -76.668182, 38.162031)",47502,0.0173017663718333,43.69253926150478,20.0,20.0,1.0,243.34793034713135,12.167396517356568,15.0,90.65670919119195,32.24790535135363,73.64487540872703,97.73499740459049,67.48579007199697,61.12274213552824
2827,Virginia,Fairfax,"[54 39 46 54 54 54 55 55 54 54 54 54 54 54 55 55 54 54 54 55 54 55 54 54
 46 54 55 54 33 54 54 54 54 47 46 47 54 54 54 55 54 54 55 54 54 54 55 55
 54 54 54 54 54 55 54 54 54 54 54 54 54 54 54 54 46 34 46 54 55 54 54 39
 54 54 54 55 54 55 55 55 55 55 54 54 27 27 55 45 53 55 55 55 54 54 54 41
 54 54 54 54 55 55 54 54 55 54 54 55 55 54 54 55 54 54 54 55 46 27 46 54
 54 55 55 55 55 55 54 33 55 54 54 54 55 55 54 54 55 54 54 55 55 55 55 55
 54 54 46 54 54 46 46 54 55 46 54 55 55 55 54 55 55 55 54 54 55 55 55 54
 55 55 55 55 55 55 55 54 46 46 54 54 54 54 54 54 55 54 54 54 55 46 27 54
 55 55 55 55 55 55 55 55 55 55 55 54 54 54 54 54 46 46 54 54 54 54 55 54
 54 54 54 46 54 54 46 39 55 55 55 55 54 54 54 55 55 55 55 55 55 55 55 54
 38 38 54 54 54 54 54 46 54 55 54 39 46 54 54 46 55 55 55 54 54 54 55 54
 54 54 54 54 54 55 54 54 53 53 54 54 54 54 54 54 55 54 54 46 46 54 54 54
 55 55 54 54 54 55 55 54 46 54 54 55 54 54 46 54 55 55 54 46 54 54 33 29
 24 54 54 46 46 39 54 54 54 54 46 54 54 54 54 54 54 54 54 54 54 54 46 39
 54 54 46 46 39 39 54 54 54 55 54 55 55 54 54 54 34 14 54 54 54 54 55 54
 46 54 54 45 54 54 54 54 54 54 54 46 54 54 54 54 55 54 54 54 54 54 54 54
 21 14 55 55 54 46 54 54 46 54 53 45 54 54 54 54 54 54 55 54 54 54 46 54
 54 54 54 54 54 54 54 54 24 24 55 55 55 54 54 54 54 54 54 54 54 54 46 54
 54 54 54 54 54 54 54 55 54 54 54 54 54 54 46 46 47 29 54 54 55 55 54 54
 54 54 55 54 54 54 54 54 54 54 54 54 54 46 46 54 54 54 54 55 54 54 54 46
 34 54 54 46 47 47 54 54 54 46 54 55 55 54 54 54 46 46 54 54 55 46 54 54
 54 54 46 54 55 55 55 46 34 55 54 54 47 47 54 54 54 54 46 54 55 54 54 54
 46 46 54 55 55 54 54 54 54 54 34 55 55 55 55 54 54 54 39 47 47 54 54 54
 54 54 54 54 54 46 54 54 54 54 54 54 54 54 54 54 54 54 33 54 54 54 54 54
 54 40 46 47 47 54 54 54 54 54 54 54 55 39 55 54 54 54 46 54 46 54 54 54
 54 54 54 54 55 55 54 54]",9.60969670836732,"(-77.335052, 38.832822, -77.268624, 38.871692)",608,0.0158054222177094,52.05427631578947,0.0,0.0,0.0,0.0,0.0,15.0,98.07565789473684,96.58717105263158,82.78947368421052,10.0,90.08223684210526,72.21217105263158
2828,Virginia,Fairfax,"[54 39 46 54 54 54 55 55 54 54 54 54 54 54 55 55 54 54 54 55 54 55 54 54
 46 54 55 54 33 54 54 54 54 47 46 47 54 54 54 55 54 54 55 54 54 54 55 55
 54 54 54 54 54 55 54 54 54 54 54 54 54 54 54 54 46 34 46 54 55 54 54 39
 54 54 54 55 54 55 55 55 55 55 54 54 27 27 55 45 53 55 55 55 54 54 54 41
 54 54 54 54 55 55 54 54 55 54 54 55 55 54 54 55 54 54 54 55 46 27 46 54
 54 55 55 55 55 55 54 33 55 54 54 54 55 55 54 54 55 54 54 55 55 55 55 55
 54 54 46 54 54 46 46 54 55 46 54 55 55 55 54 55 55 55 54 54 55 55 55 54
 55 55 55 55 55 55 55 54 46 46 54 54 54 54 54 54 55 54 54 54 55 46 27 54
 55 55 55 55 55 55 55 55 55 55 55 54 54 54 54 54 46 46 54 54 54 54 55 54
 54 54 54 46 54 54 46 39 55 55 55 55 54 54 54 55 55 55 55 55 55 55 55 54
 38 38 54 54 54 54 54 46 54 55 54 39 46 54 54 46 55 55 55 54 54 54 55 54
 54 54 54 54 54 55 54 54 53 53 54 54 54 54 54 54 55 54 54 46 46 54 54 54
 55 55 54 54 54 55 55 54 46 54 54 55 54 54 46 54 55 55 54 46 54 54 33 29
 24 54 54 46 46 39 54 54 54 54 46 54 54 54 54 54 54 54 54 54 54 54 46 39
 54 54 46 46 39 39 54 54 54 55 54 55 55 54 54 54 34 14 54 54 54 54 55 54
 46 54 54 45 54 54 54 54 54 54 54 46 54 54 54 54 55 54 54 54 54 54 54 54
 21 14 55 55 54 46 54 54 46 54 53 45 54 54 54 54 54 54 55 54 54 54 46 54
 54 54 54 54 54 54 54 54 24 24 55 55 55 54 54 54 54 54 54 54 54 54 46 54
 54 54 54 54 54 54 54 55 54 54 54 54 54 54 46 46 47 29 54 54 55 55 54 54
 54 54 55 54 54 54 54 54 54 54 54 54 54 46 46 54 54 54 54 55 54 54 54 46
 34 54 54 46 47 47 54 54 54 46 54 55 55 54 54 54 46 46 54 54 55 46 54 54
 54 54 46 54 55 55 55 46 34 55 54 54 47 47 54 54 54 54 46 54 55 54 54 54
 46 46 54 55 55 54 54 54 54 54 34 55 55 55 55 54 54 54 39 47 47 54 54 54
 54 54 54 54 54 46 54 54 54 54 54 54 54 54 54 54 54 54 33 54 54 54 54 54
 54 40 46 47 47 54 54 54 54 54 54 54 55 39 55 54 54 54 46 54 46 54 54 54
 54 54 54 54 55 55 54 54]",9.60969670836732,"(-77.335052, 38.832822, -77.268624, 38.871692)",608,0.0158054222177094,52.05427631578947,0.0,0.0,0.0,0.0,0.0,15.0,89.04674284320105,71.36426480156149,71.74632275466767,18.680693173672893,88.35037817176317,66.45848611286719
2829,Virginia,Fairfax,[48 48 48 ... 41 41 20],838.5178906423799,"(-77.537026, 38.60457, -77.041362, 39.057678)",49184,0.0170485908149475,46.84873129473,0.0,0.0,0.0,0.0,0.0,15.0,98.07565789473684,96.58717105263158,82.78947368421052,10.0,90.08223684210526,72.21217105263158
2830,Virginia,Fairfax,[48 48 48 ... 41 41 20],838.5178906423799,"(-77.537026, 38.60457, -77.041362, 39.057678)",49184,0.0170485908149475,46.84873129473,0.0,0.0,0.0,0.0,0.0,15.0,89.04674284320105,71.36426480156149,71.74632275466767,18.680693173672893,88.35037817176317,66.45848611286719
2831,Virginia,Falls Church,"[54 54 54 46 46 39 39 54 55 54 54 54 55 55 55 54 46 54 54 46 46 54 54 54
 54 54 54 39 27 54 54 54 54 54 54 54 54 54 54 54 54 54 54 55 46 54 54 54
 54 54 54 54 55 55 55 54 46 54 54 56 55 55 55 55 55 54 46 54 54 55 55 55
 54 55 55 55 54 46 54 55 55 55 55 46 46 55 55 55 54 54 55 55 55 55 55 55
 55 55 54 54 55 55 55 55 46 46 55 55 55 55 55 54 54 54 55 55 55 55 55 54
 54 54 55 55 55 55 55 55 55 56 56 56 55 54 54 55 55 54 54 55 55 54 54 55
 55 55 55 56 56 55 55 56 56 56 55 54 54 54 54 54 54 55 55 55 55 55 55 55
 55 43 55 55 55 39 39 46 55 39 27 54 55 55 55 55 55 55 55 55 55 55 55 55
 55 55 55 27 27 55 55 54 46 54 55 55 55 55 55 55 54 55 55 55 56 55 55 55
 46 27 27 55 54 54 27 46 55 55 54 54 55 55 54 55 56 55 55 55 55 55 46 55
 55 55 54 54 54 33 54 54 54 54 46 54 54 55 55 56 56 55 55 55 55 55 55 55
 54 54 54 54 54 54 54 55 54 54 41 42 55 55 54 55 55 55 56 56 56 55 54 54
 54 54 39 54 54 55 55 54 54 54 54 54 54 54 46 54 54 55 55 54]",4.619799480231911,"(-77.194996, 38.872468, -77.149701, 38.899888)",308,0.0149993489617919,52.90584415584416,0.0,0.0,0.0,0.0,0.0,15.0,99.25324675324676,99.74025974025975,84.99025974025975,10.0,93.50649350649351,74.91883116883118
2832,Virginia,Fauquier,[46 45 45 ... 54 47 47],1356.9319996800289,"(-78.131267, 38.409554, -77.531328, 39.013733)",79240,0.0171243311418479,37.93105754669359,8.0,8.0,1.0,58.95652841768371,7.369566052210463,15.0,95.02372539121656,46.90042907622413,60.665244825845534,78.5836698637052,64.35045431600201,68.28377082281676
2833,Virginia,Floyd,[45 45 38 ...  0 20 20],840.6724993608808,"(-80.633987, 36.708718, -80.104413, 37.123361)",48112,0.0174732395111589,16.22609743930828,0.0,0.0,0.0,0.0,0.0,15.0,95.02473395410708,36.067197372796805,8.69772613900898,96.78666444961756,50.007274692384435,61.38851014299967
2834,Virginia,Fluvanna,[27 24 25 ... 38 32 38],512.5141093170977,"(-78.491345, 37.690308, -78.062481, 38.006474)",29748,0.0172285232391117,38.77097620008068,5.0,5.0,1.0,97.55828979347082,19.511657958694165,15.0,98.07852628748151,37.09005647438483,57.18579400295818,94.37878176684147,72.74539464837973,60.200248756218905
2835,Virginia,Franklin,"[55 55 55 55 55 55 48 48 48 48 43 48 48 47 48 48 48 43 43 43 43 43 43 43
 43 43 43 43 43 55 55 55 55 55 55 48 48 48 48 48 48 48 48 48 48 48 43 43
 43 43 43 43 43 43 43 43 43 43 55 55 55 55 55 55 55 48 48 48 48 48 43 43
 43 43 43 43 43 43 43 48 48 43 48 48 48 48 48 55 55 55 55 55 55 55 55 55
 43 48 48 48 48 36 43 43 43 43 43 43 48 48 48 48 43 43 48 48 55 55 55 55
 55 55 55 55 48 43 43 43 43 43 43 36 43 43 43 43 43 43 43 43 43 43 43 48
 48 55 55 55 55 55 55 55 55 55 55 43 43 43 48 43 43 43 43 43 43 43 43 43
 43 43 43 43 48 48 55 55 55 55 55 55 55 55 55 55 47 47 43 43 43 48 43 43
 43 43 43 48 43 43 43 43 48 48 48 55 55 48 55 55 55 55 55 55 55 48 48 48
 48 48 48 48 47 43 48 48 48 48 48 43 43 48 48 48 55 48 48 55 55 55 55 55
 55 55 55 55 48 48 48 48 48 47 48 48 48 47 48 48 43 43 43 43 43 55 55 48
 55 55 55 55 55 55 55 55 55 55 55 48 48 48 48 48 48 48 43 48 43 43 43 43
 48 48 55 43 55 54 55 55 55 55 55 55 55 55 55 55 55 55 48 48 48 43 43 43
 43 43 43 43 43 48 48 55 55 55 54 54 54 55 55 55 55 55 55 55 55 55 55 48
 47 47 43 43 43 43 43 43 48 48 48 48 55 55 55 54 54 54 55 55 55 55 55 55
 55 55 55 55 48 48 48 48 43 43 43 47 48 48 48 48 48 55 43 55 54 47 47 55
 55 55 55 54 54 55 55 54 55 48 48 48 48 48 43 43 48 48 48 48 48 48 55 55
 54 54 54 54 54 55 55 55 54 54 55 55 54 55 48 48 48 48 48 48 48 48 47 48
 48 48 48 54 55 55 55 47 47 47 47 54 55 54 46 46 55 55 55 48 48 48 48 48
 48 48 48 43 48 48 48 48 55 55 55 55 48 48 43 48 43 48 48 55 55 55 48 48
 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 55 55 55 48 48 48 55
 48 43 48 48 48 48 48 48 48 48 48 48 48 43 33 43 47 47 48 48 43 55 55 55
 55 55 48 55 56 48 48 48 48 48 48 48 48 48 48 48 48 47 43 48 43 48 48 43
 43 55 55 55 55 55 55 56 56 56 48 48 48 48 48 48 48 48 48 48 48 48 43 43
 43 48 48 48 43 43 43 55 55 55 55 56 56 56 48 48 48 48 48 48 48 48 48 48
 48 48 48 43 43 43 48 48 48 48 43 43 55 55 55 55 56 48 48 48 48 48 48 48
 48 48 48 48 48 48 48 48 43 43 43 48 48 48 48 48 43 48 48 48 48 48 48 55
 48 48 48 48 48 48 48 48 44 48 48 48 48 43 43 43 48 48 48 55 48 43 48 48
 48 48 48 55 55 48 48 48 48 48 48 48 48 48 48 48 48 48 43 43 43 43 48 48
 55 55 48 48 48 48 48 48 55 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48
 43 43 43 43 43 55 55 48 48 48 48 48 48 48 48 48 48 48 48 48 48 44 48 48
 48 48 48 48 48 48 43 43 43 43 56 55 55 48 48 48 48 48 48 48 48 48 48 48
 48 48 48 48 48 48 48 48 48 48 48 43 43 48 48 55 55 55 55 55 55 48 48 48
 48 48 48 48 48 48 44 48 48 48 48 48 48 48 48 48 43 48 48 48 55 55 55 55
 55 55 48 48 48 48 48 48 48 48 48 43 48 48 48 48 43 48 48 48 48 48 43 43
 43 48 48 48 55 55 55 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48
 48 48 48 48 43 43]",14.089491620719564,"(-76.969434, 36.647146, -76.909672, 36.70868)",870,0.01619481795485,48.81954022988506,0.0,0.0,0.0,0.0,0.0,15.0,99.93103448275862,51.63793103448276,98.93103448275862,52.0,91.37931034482759,67.18620689655172
